player_id,goals_total,assists_total,yellow_cards,red_cards,player_name,date_of_birth,sub_position,transfer_fee_eur,season_year,competition_and_season,sb_matches_played,sb_goals,sb_assists,sb_shots,sb_xg,sb_passes,sb_pass_completed,sb_tackles,sb_interceptions,sb_dribbles_completed,sb_minutes_played,bmi,days_injured_prev_season,cumulative_days_injured,injury_days_per_game,injury_trend,severe_injury_this_season,age,position,market_value_eur,market_value_yoy_change,market_value_yoy_pct_change,minutes_played_season,goal_involvement_per_90,defensive_actions_per_90,sb_pass_accuracy,season_days_injured,injury_risk_score,availability_index,fan_sentiment,media_sentiment,overall_sentiment,sentiment_yoy_change
10,8,8,3,0,Miroslav Klose,09-06-1978,Centre-Forward,0,2015,Serie A_2015/2016,24,7,6,30,5.801332839,317,205,13,7,12,95,23.58983547,0,0,0.0,0,0,37,Attack,1000000,0,0.0,1714,0.840140023,1.050175029,0.646687697,0,0.0,1.0,0.142080874,0.267432178,0.204756526,0.0
26,0,0,2,1,Roman Weidenfeller,06-08-1980,Goalkeeper,0,2012,Champions League_2012/2013,1,0,0,0,0.0,37,20,0,0,0,88,23.58983547,0,0,0.0,0,0,32,Goalkeeper,5000000,0,0.0,4401,0.0,0.0,0.540540541,0,0.0,1.0,-0.026905324,0.210514144,0.09180441,0.0
26,0,0,1,0,Roman Weidenfeller,06-08-1980,Goalkeeper,0,2015,1. Bundesliga_2015/2016,1,0,0,0,0.0,29,18,0,0,0,91,23.58983547,0,0,0.0,0,0,35,Goalkeeper,1000000,-4000000,-0.8,1260,0.0,0.0,0.620689655,0,0.0,1.0,0.403425068,0.02884597,0.216135519,0.124331109
277,0,1,5,0,Sérgio da Silva Pinto,16-10-1980,Central Midfield,0,2013,La Liga_2013/2014,2,0,0,1,0.00939551,18,10,4,0,0,93,23.58983547,0,0,0.0,0,0,33,Midfield,1000000,0,0.0,1237,0.072756669,0.291026677,0.555555556,0,0.0,1.0,0.097041068,-0.165919998,-0.034439465,0.0
568,0,0,0,0,Martin Stranzl,16-06-1980,Centre-Back,0,2015,1. Bundesliga_2015/2016,3,0,0,0,0.0,119,104,3,1,0,89,23.58983547,0,0,0.0,0,0,35,Defender,1000000,0,0.0,164,0.0,2.195121951,0.87394958,0,0.0,1.0,-0.168892618,0.25074249,0.040924936,0.0
1126,0,2,8,0,Matthias Lehmann,28-05-1983,Defensive Midfield,0,2015,1. Bundesliga_2015/2016,32,0,2,14,0.705565864,1363,1116,46,29,5,94,23.58983547,0,0,0.0,0,0,32,Midfield,750000,0,0.0,2934,0.061349693,2.300613497,0.818782098,0,0.0,1.0,0.106904924,0.025051131,0.065978027,0.0
1277,1,4,14,0,Clemens Fritz,07-12-1980,Right-Back,0,2015,1. Bundesliga_2015/2016,29,1,2,25,0.771075267,1035,764,83,21,33,95,23.58983547,0,0,0.0,0,0,35,Defender,750000,0,0.0,2845,0.158172232,3.289982425,0.738164251,0,0.0,1.0,-0.117259937,-0.090117142,-0.103688539,0.0
1331,0,0,0,0,Kevin Kuranyi,02-03-1982,Centre-Forward,0,2015,1. Bundesliga_2015/2016,14,0,0,10,1.994143447,183,105,7,1,5,96,23.58983547,0,0,0.0,0,0,33,Attack,1250000,0,0.0,552,0.0,1.304347826,0.573770492,0,0.0,1.0,-0.161253095,0.128241998,-0.016505549,0.0
1565,12,1,2,0,Alexander Meier,17-01-1983,Second Striker,0,2015,1. Bundesliga_2015/2016,19,12,1,50,6.716222392,483,321,7,9,7,94,23.58983547,0,0,0.0,0,0,32,Attack,3000000,0,0.0,1748,0.669336384,0.823798627,0.664596273,0,0.0,1.0,0.392615947,0.035327328,0.213971638,0.0
1586,2,1,6,0,Christian Schulz,01-04-1983,Centre-Back,0,2015,1. Bundesliga_2015/2016,25,2,0,8,1.08968838,996,821,19,43,2,93,23.58983547,0,0,0.0,0,0,32,Defender,1000000,0,0.0,2303,0.117238385,2.422926617,0.824297189,0,0.0,1.0,-0.237094537,0.136428202,-0.050333167,0.0
1662,0,2,3,0,Sascha Riether,23-03-1983,Right-Back,0,2015,1. Bundesliga_2015/2016,17,0,0,1,0.11036399,813,647,21,17,0,93,23.58983547,0,0,0.0,0,0,32,Defender,1000000,0,0.0,1482,0.12145749,2.307692308,0.795817958,0,0.0,1.0,0.544318192,0.207288114,0.375803153,0.0
1726,1,0,7,0,Heiko Westermann,14-08-1983,Centre-Back,0,2015,La Liga_2015/2016,20,1,0,15,1.432165966,647,499,44,39,5,93,23.58983547,0,0,0.0,0,0,32,Defender,1500000,0,0.0,1634,0.055079559,4.571603427,0.771251932,0,0.0,1.0,0.012916582,0.210706977,0.11181178,0.0
1784,0,1,3,1,René Adler,15-01-1985,Goalkeeper,0,2015,1. Bundesliga_2015/2016,24,0,1,0,0.0,831,434,0,0,1,96,23.58983547,0,0,0.0,0,0,30,Goalkeeper,3000000,0,0.0,2192,0.041058394,0.0,0.522262335,0,0.0,1.0,0.002600621,-0.380765283,-0.189082331,0.0
1986,1,0,6,0,Markus Feulner,12-02-1982,Central Midfield,0,2015,1. Bundesliga_2015/2016,19,1,0,13,0.83952873,441,316,41,9,11,94,23.58983547,0,0,0.0,0,0,33,Midfield,750000,0,0.0,1468,0.061307902,3.065395095,0.716553288,0,0.0,1.0,0.232028155,0.32979405,0.280911103,0.0
2219,0,19,2,0,Philipp Lahm,11-11-1983,Right-Back,0,2012,Champions League_2012/2013,1,0,0,0,0.0,66,52,1,1,0,91,23.58983547,0,0,0.0,0,0,29,Defender,30000000,0,0.0,4109,0.41615965,0.043806279,0.787878788,0,0.0,1.0,0.594897838,0.648057281,0.62147756,0.0
2219,1,1,3,0,Philipp Lahm,11-11-1983,Right-Back,0,2015,1. Bundesliga_2015/2016,26,1,1,10,1.014552289,2127,1924,25,19,10,92,23.58983547,0,0,0.0,0,0,32,Defender,16000000,-14000000,-0.466666667,3917,0.045953536,1.010977789,0.904560414,0,0.0,1.0,0.046491251,0.326519251,0.186505251,-0.434972308
2233,2,3,4,0,Christian Lell,29-08-1984,Right-Back,0,2012,La Liga_2012/2013,1,0,0,0,0.0,23,16,2,1,3,91,23.58983547,0,0,0.0,0,0,28,Defender,1500000,0,0.0,2345,0.191897655,0.115138593,0.695652174,0,0.0,1.0,-0.21313942,0.177303548,-0.017917936,0.0
2514,9,11,10,0,Bastian Schweinsteiger,01-08-1984,Central Midfield,0,2012,Champions League_2012/2013,1,0,0,3,0.174224389,84,69,0,1,0,93,23.58983547,0,0,0.0,0,0,28,Midfield,40000000,0,0.0,3672,0.490196078,0.024509804,0.821428571,0,0.0,1.0,0.254092007,0.336914559,0.295503283,0.0
2514,1,2,5,0,Bastian Schweinsteiger,01-08-1984,Central Midfield,0,2015,Premier League_2015/2016,18,1,0,12,1.378185402,1086,924,42,10,17,96,23.58983547,0,0,9.0,9,0,31,Midfield,12000000,-28000000,-0.7,1849,0.146024878,2.531097891,0.850828729,9,0.254705471,0.975342466,-0.095380847,0.065154289,-0.015113279,-0.310616563
2623,2,1,0,0,Piotr Trochowski,22-03-1984,Attacking Midfield,0,2012,La Liga_2012/2013,1,1,0,1,0.06800434,14,11,0,1,0,37,22.99478633,0,0,0.0,0,0,28,Midfield,3500000,0,0.0,437,0.61784897,0.205949657,0.785714286,0,0.0,1.0,-0.26028355,0.17978808,-0.040247735,0.0
2623,0,1,2,0,Piotr Trochowski,22-03-1984,Attacking Midfield,0,2013,La Liga_2013/2014,2,0,0,1,0.022069193,27,24,1,1,0,92,22.99478633,0,0,0.0,0,0,29,Midfield,3000000,-500000,-0.142857143,1057,0.085146641,0.170293283,0.888888889,0,0.0,1.0,0.567939835,0.00216685,0.285053343,0.325301078
2623,2,1,0,0,Piotr Trochowski,22-03-1984,Attacking Midfield,0,2015,1. Bundesliga_2015/2016,5,0,0,6,0.276811534,77,60,1,1,0,92,22.99478633,0,0,0.0,0,0,31,Midfield,750000,-2250000,-0.75,419,0.644391408,0.429594272,0.779220779,0,0.0,1.0,0.225704283,0.517711148,0.371707716,0.086654373
2865,3,7,13,0,Stephan Lichtsteiner,16-01-1984,Right-Back,0,2014,Champions League_2014/2015,1,0,0,0,0.0,28,26,3,0,0,95,22.99478633,0,0,0.0,0,0,30,Defender,13000000,0,0.0,3986,0.225790266,0.06773708,0.928571429,0,0.0,1.0,-0.169554396,0.029320031,-0.070117182,0.0
2865,2,2,6,0,Stephan Lichtsteiner,16-01-1984,Right-Back,0,2015,Serie A_2015/2016,26,0,1,16,1.224545708,1067,806,25,9,9,95,22.99478633,0,0,0.0,0,0,31,Defender,6000000,-7000000,-0.538461538,2782,0.129403307,1.099928109,0.755388941,0,0.0,1.0,0.08604843,0.151470538,0.118759484,0.188876666
